%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211888, 2017/01/2 15:52:31.94)
1 7 7.547913e-01 2.100783e+00  1.989108495498594493e+03  1.989108495498594493e+03  2.553803751672985527e+03  3.576997493006702371e+03
2 13 7.121344e-01 2.272592e+00  1.972469322305766809e+03  1.972469322305766809e+03  2.108367856107550779e+03  2.572357212582734974e+03
3 19 6.774093e-01 2.330178e+00  1.919849008904271159e+03  1.919849008904271159e+03  2.016701013649973902e+03  2.574505439756540909e+03
4 25 7.991753e-01 1.816808e+00  1.660343728293629283e+03  1.660343728293629283e+03  1.759772469736321455e+03  2.129565831528438594e+03
5 31 1.064836e+00 1.327637e+00  1.342354604128068104e+03  1.342354604128068104e+03  1.758381905469348112e+03  2.391003459246408511e+03
6 37 1.044940e+00 1.423493e+00  1.342354604128068104e+03  1.380784337961900064e+03  1.833543393560314598e+03  2.378131703219083192e+03
7 43 1.182176e+00 1.153122e+00  1.063837862490803218e+03  1.063837862490803218e+03  1.701239062486902640e+03  3.162828462404416314e+03
8 49 1.666918e+00 1.383961e+00  7.225801180111462827e+02  7.225801180111462827e+02  1.028367260639709002e+03  1.384879349206733650e+03
9 55 2.046522e+00 1.700887e+00  4.574509825265852783e+02  4.574509825265852783e+02  8.261582305675926818e+02  1.329434370497366672e+03
10 61 2.121173e+00 1.809451e+00  2.315772468879879398e+02  2.315772468879879398e+02  6.782310203665153949e+02  1.507570795011064774e+03
11 67 2.292516e+00 2.005208e+00  1.621058732779222566e+02  1.621058732779222566e+02  3.247808971961391649e+02  9.993500892571748864e+02
12 73 2.983465e+00 2.450860e+00  1.047384541275622496e+02  1.047384541275622496e+02  2.159298079370416019e+02  9.894850543747581924e+02
13 79 4.029308e+00 3.291949e+00  1.018914769308341306e+02  1.018914769308341306e+02  1.067817220253839707e+02  2.171821840279338574e+02
14 85 4.335858e+00 3.614292e+00  1.018528699805461315e+02  1.018528699805461315e+02  1.025223096549784998e+02  1.353893132392346104e+02
15 91 5.136908e+00 3.030115e+00  1.018518545664663577e+02  1.018518545664663577e+02  1.020274959528527887e+02  2.481855691586659759e+03
16 97 3.870547e+00 3.025283e+00  1.018518545664663577e+02  1.018525009599669460e+02  1.022218643874427784e+02  8.301169361484334104e+02
17 103 6.026927e+00 3.265093e+00  1.018517290478617383e+02  1.018517290478617383e+02  1.018517299283246871e+02  1.085573345653881319e+02
18 109 6.267947e+00 3.006688e+00  1.018517290355816272e+02  1.018517290355816272e+02  1.018517348868197274e+02  1.018764265477620654e+02
19 115 8.032387e+00 3.002943e+00  1.018517290355619025e+02  1.018517290355619025e+02  1.018517290355799929e+02  1.018526777086548805e+02
20 121 1.062466e+01 3.250269e+00  1.018517290355619025e+02  1.018517290355619025e+02  1.018517290355624709e+02  1.037934391182220253e+02
