%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=215042, 2017/01/3 17:54:58.43)
1 7  2.589149752648217628e+01 0 0 1.335395e+00 2.436541e+00 
2 13  2.638114361104909023e+01 0 0 9.460186e-01 2.662377e+00 
3 19  2.605925284398085751e+01 0 0 1.077076e+00 2.404502e+00 
4 25  2.598956247607098291e+01 0 0 1.097496e+00 2.187766e+00 
5 31  2.592948217374175357e+01 0 0 1.127058e+00 2.111031e+00 
6 37  2.582387911392906332e+01 0 0 1.191749e+00 2.140638e+00 
7 43  2.578497212797953964e+01 0 0 1.227953e+00 2.163230e+00 
8 49  2.578497717335394057e+01 0 0 1.387082e+00 2.288504e+00 
9 55  2.557434813703903842e+01 0 0 1.540135e+00 2.013469e+00 
10 61  2.551377914953673454e+01 0 0 1.456014e+00 1.635619e+00 
11 67  2.540386066622105332e+01 0 0 1.664631e+00 1.805071e+00 
12 73  2.533716209866626912e+01 0 0 1.858639e+00 1.700661e+00 
13 79  2.521171548210700308e+01 0 0 2.056802e+00 1.529493e+00 
14 85  2.527609065565587798e+01 0 0 2.023335e+00 1.601302e+00 
15 91  2.526334922397077776e+01 0 0 1.983549e+00 1.340629e+00 
16 97  2.513721946597126689e+01 0 0 2.257090e+00 1.336983e+00 
17 103  2.512556538368466974e+01 0 0 2.361680e+00 1.310571e+00 
18 109  2.514608533550137182e+01 0 0 2.230245e+00 1.408348e+00 
19 115  2.511566135551339229e+01 0 0 2.513319e+00 1.292140e+00 
20 121  2.511525691777496050e+01 0 0 2.560080e+00 1.263173e+00 
21 127  2.511762690083380889e+01 0 0 2.456423e+00 1.304561e+00 
22 133  2.512014599765775102e+01 0 0 2.516649e+00 1.260417e+00 
23 139  2.511681935153092482e+01 0 0 2.511301e+00 1.273123e+00 
24 145  2.511524563257819409e+01 0 0 2.531963e+00 1.274473e+00 
25 151  2.511505956054781663e+01 0 0 2.525484e+00 1.282109e+00 
26 157  2.511414139539046886e+01 0 0 2.566719e+00 1.270789e+00 
27 163  2.511380694968955396e+01 0 0 2.603908e+00 1.260040e+00 
28 169  2.511503183426463082e+01 0 0 2.534457e+00 1.285877e+00 
29 175  2.511377194297072180e+01 0 0 2.598544e+00 1.265238e+00 
30 181  2.511380239422617677e+01 0 0 2.593459e+00 1.265535e+00 
31 187  2.511369530920831039e+01 0 0 2.612303e+00 1.259888e+00 
32 193  2.511379599154212627e+01 0 0 2.649483e+00 1.253141e+00 
33 199  2.511384937671937223e+01 0 0 2.640709e+00 1.257609e+00 
34 205  2.511383331156997301e+01 0 0 2.642456e+00 1.256777e+00 
35 211  2.511373376593509832e+01 0 0 2.636172e+00 1.255132e+00 
36 217  2.511376822663289943e+01 0 0 2.613302e+00 1.263131e+00 
37 223  2.511372087572655332e+01 0 0 2.605977e+00 1.263141e+00 
38 229  2.511374214949866968e+01 0 0 2.618719e+00 1.259905e+00 
39 235  2.511372632031480023e+01 0 0 2.627716e+00 1.256949e+00 
40 241  2.511373381317938325e+01 0 0 2.632059e+00 1.256427e+00 
41 247  2.511372545810997536e+01 0 0 2.628584e+00 1.256908e+00 
42 253  2.511373310826526506e+01 0 0 2.629765e+00 1.257233e+00 
43 259  2.511372819179656446e+01 0 0 2.628755e+00 1.256493e+00 
44 265  2.511372695443387215e+01 0 0 2.631257e+00 1.256223e+00 
45 271  2.511372655071906479e+01 0 0 2.629681e+00 1.256502e+00 
46 277  2.511372537765931767e+01 0 0 2.627970e+00 1.257376e+00 
47 283  2.511372555177028332e+01 0 0 2.629194e+00 1.257041e+00 
48 289  2.511372497354479449e+01 0 0 2.628504e+00 1.257109e+00 
49 295  2.511372511625720705e+01 0 0 2.628331e+00 1.257060e+00 
50 301  2.511372497948335436e+01 0 0 2.628389e+00 1.257119e+00 
51 307  2.511372508174268248e+01 0 0 2.626573e+00 1.257618e+00 
52 313  2.511372510001100267e+01 0 0 2.626720e+00 1.257516e+00 
53 319  2.511372508680769045e+01 0 0 2.626546e+00 1.257652e+00 
54 325  2.511372501719529282e+01 0 0 2.627367e+00 1.257337e+00 
55 331  2.511372489538365471e+01 0 0 2.627612e+00 1.257399e+00 
56 337  2.511372490331585183e+01 0 0 2.627616e+00 1.257354e+00 
57 343  2.511372494348366757e+01 0 0 2.627473e+00 1.257353e+00 
58 349  2.511372494015249401e+01 0 0 2.627624e+00 1.257311e+00 
59 355  2.511372493988220000e+01 0 0 2.628197e+00 1.257181e+00 
60 361  2.511372493578340226e+01 0 0 2.628220e+00 1.257181e+00 
61 367  2.511372490974539318e+01 0 0 2.627834e+00 1.257284e+00 
62 373  2.511372489511931150e+01 0 0 2.627894e+00 1.257292e+00 
63 379  2.511372491475966484e+01 0 0 2.627407e+00 1.257460e+00 
64 385  2.511372489921398099e+01 0 0 2.627538e+00 1.257404e+00 
65 391  2.511372489543512643e+01 0 0 2.627813e+00 1.257311e+00 
66 397  2.511372489170336664e+01 0 0 2.627668e+00 1.257375e+00 
67 403  2.511372489077355397e+01 0 0 2.627766e+00 1.257336e+00 
68 409  2.511372490093571841e+01 0 0 2.627590e+00 1.257369e+00 
69 415  2.511372489067417035e+01 0 0 2.627791e+00 1.257329e+00 
70 421  2.511372489292990196e+01 0 0 2.627907e+00 1.257294e+00 
71 427  2.511372488829841387e+01 0 0 2.627822e+00 1.257332e+00 
72 433  2.511372488876178011e+01 0 0 2.627770e+00 1.257346e+00 
73 439  2.511372488888686050e+01 0 0 2.627787e+00 1.257338e+00 
74 445  2.511372488841197281e+01 0 0 2.627789e+00 1.257342e+00 
75 451  2.511372488885074361e+01 0 0 2.627818e+00 1.257329e+00 
